"participation_id";"url_photo_collecte";"taxon";"taxon_valide";"taxon_ne_sait_pas";"taxon_pas_dans_liste";"url_photo_taxon_dessus";"url_photo_taxon_dessous";"url_photo_taxon_cote";"commentaire_releve"
"209";"https://www.qubs.fr/upload/medias/20230428-082955-644b6c985f685316555216.jpg";NA;"0";"1";"0";"https://www.qubs.fr/upload/medias/20230428-082949-644b6c985db56307372720.jpg";NA;NA;""
"212";"https://www.qubs.fr/upload/medias/img20230428115141-644b9c864d909049142943.jpg";NA;"0";"1";"0";"https://www.qubs.fr/upload/medias/img20230428114755-644b9c864289f788123256.jpg";"https://www.qubs.fr/upload/medias/img20230428120310-644b9c864329f533499716.jpg";"https://www.qubs.fr/upload/medias/img20230428120317-644b9c86438df960764679.jpg";""
"212";"https://www.qubs.fr/upload/medias/img20230428115141-644b9c864d909049142943.jpg";NA;"0";"1";"0";"https://www.qubs.fr/upload/medias/img20230428120516-644b9c864449c864664263.jpg";NA;"https://www.qubs.fr/upload/medias/img20230428120832-644b9c8644bfa682309115.jpg";""
"212";"https://www.qubs.fr/upload/medias/img20230428115141-644b9c864d909049142943.jpg";NA;"0";"1";"0";"https://www.qubs.fr/upload/medias/img20230428114816-644b9c86455d8035229161.jpg";NA;"https://www.qubs.fr/upload/medias/img20230428120736-644b9c8648f71443360817.jpg";""
"212";"https://www.qubs.fr/upload/medias/img20230428115141-644b9c864d909049142943.jpg";NA;"0";"1";"0";"https://www.qubs.fr/upload/medias/img20230428115827-644b9c8649a0e575810966.jpg";NA;"https://www.qubs.fr/upload/medias/img20230428120114-644b9c864a201601371935.jpg";""
"212";"https://www.qubs.fr/upload/medias/img20230428115141-644b9c864d909049142943.jpg";NA;"0";"1";"0";"https://www.qubs.fr/upload/medias/img20230428120000-644b9c864aa02511019038.jpg";NA;NA;""
"212";"https://www.qubs.fr/upload/medias/img20230428115141-644b9c864d909049142943.jpg";NA;"0";"1";"0";"https://www.qubs.fr/upload/medias/img20230428114839-644b9c864cf4f669095974.jpg";NA;NA;""
"213";"https://www.qubs.fr/upload/medias/7b037cce-5a9a-485b-9033-2937f4c72bd9-644ba9bd0be39020022511.jpeg";NA;"0";"1";"0";"https://www.qubs.fr/upload/medias/bd6a7ca8-2e07-4e8b-bd99-603c02ad704f-644ba9bd08ff9162453024.jpeg";"https://www.qubs.fr/upload/medias/d38981f2-2b95-4e86-9681-9e3d58bab285-644ba9bd0a644894124768.jpeg";NA;""
"214";"https://www.qubs.fr/upload/medias/20230428-114216-644baad9a584a690622468.jpg";"Le Bulime tronqué";"1";"0";"0";"https://www.qubs.fr/upload/medias/20230428-115843-1-644baad99adf7905252001.jpg";"https://www.qubs.fr/upload/medias/20230428-115742-1-644baad99be2d792337717.jpg";NA;"+ 1 blatte"
"214";"https://www.qubs.fr/upload/medias/20230428-114216-644baad9a584a690622468.jpg";"L'Elégante striée";"1";"0";"0";"https://www.qubs.fr/upload/medias/20230428-115613-644baad99d467424326059.jpg";"https://www.qubs.fr/upload/medias/20230428-115620-644baad9a079c215661620.jpg";NA;"+ 1 blatte"
"217";"https://www.qubs.fr/upload/medias/img-20230428-1-644bdc401a291130663288.jpg";NA;"0";NA;NA;NA;NA;NA;"Ces escargots sont prrésents par plusieurs dizaines de différentes tailes. observés depuis pusieurs années. apparus certaienement aprés apport de feuilles mortes en vue de protection de des plantes l'hiver."
"220";"https://www.qubs.fr/upload/medias/image-644c0240337ff643428467.jpg";"L'Escargot de Bourgogne";"0";"0";"0";"https://www.qubs.fr/upload/medias/image-644c0240313fb498107674.jpg";"https://www.qubs.fr/upload/medias/image-644c024032195163884128.jpg";"https://www.qubs.fr/upload/medias/image-644c024032be6267885785.jpg";""
"222";"https://www.qubs.fr/upload/medias/16827512059293743924110197402334-644cc022922d0810381289.jpg";"Le Petit-gris";"0";"0";"0";"https://www.qubs.fr/upload/medias/img-20230429-085531-644cc022912fb714194379.jpg";NA;NA;"Il y a moins d'escargots que l'hiver.....
Cet hiver la colonie était d'une centaine d'individus."
"223";"https://www.qubs.fr/upload/medias/20230429-091055-644cc41ebc8f3202932912.jpg";"L'Escargot de Bourgogne";"1";"0";"0";"https://www.qubs.fr/upload/medias/1682752405241723826002856397774-644cc41eb9886997355707.jpg";"https://www.qubs.fr/upload/medias/16827524490004552835415148803889-644cc41ebaacb524104152.jpg";"https://www.qubs.fr/upload/medias/168275243222989899436583955014-644cc41ebba40601286229.jpg";""
"224";"https://www.qubs.fr/upload/medias/1682754460263373114969229042008-644cccb001ae0884817336.jpg";"Les Escargots des haies, jardins, forêts";"0";"0";"0";"https://www.qubs.fr/upload/medias/16827544887651045081021122108344-644cccaff396c175669453.jpg";NA;NA;""
"224";"https://www.qubs.fr/upload/medias/1682754460263373114969229042008-644cccb001ae0884817336.jpg";"Les Escargots des haies, jardins, forêts";"1";"0";"0";"https://www.qubs.fr/upload/medias/16827545762339182562430123400565-644cccb000c2a396364687.jpg";NA;NA;""
"225";"https://www.qubs.fr/upload/medias/20230429-090645-644ccdae6dc64330881822.jpg";"Les Escargots des haies, jardins, forêts";"0";"0";"0";"https://www.qubs.fr/upload/medias/20230429-094856-644ccdae69fa8814043537.jpg";"https://www.qubs.fr/upload/medias/20230429-094910-644ccdae6ae3c456451910.jpg";"https://www.qubs.fr/upload/medias/20230429-094902-644ccdae6bb6d711875495.jpg";""
"225";"https://www.qubs.fr/upload/medias/20230429-090645-644ccdae6dc64330881822.jpg";NA;"0";"1";"0";"https://www.qubs.fr/upload/medias/20230429-090645-644ccdae6cd74163274797.jpg";NA;NA;""
"226";"https://www.qubs.fr/upload/medias/img-20230429-084227-644cd561e7828914499812.jpg";"Le Petit-gris";"0";"0";"0";"https://www.qubs.fr/upload/medias/img-20230429-084227-644cd561e6484094309059.jpg";NA;NA;""
"228";"https://www.qubs.fr/upload/medias/340592863-280074904354058-371098958037702418-n-644ce31412eab686240312.jpg";NA;"0";"1";"0";"https://www.qubs.fr/upload/medias/344297087-464829499151373-2909367848820630354-n-644ce31412a25380934331.jpg";NA;NA;""
"229";"https://www.qubs.fr/upload/medias/20230429-114341-644ce31e1dc8b800378403.jpg";NA;"0";NA;NA;NA;NA;NA;"Présence de grillons"
"230";"https://www.qubs.fr/upload/medias/img-20230429-104509-644ce458731f1780949824.jpg";NA;"0";"1";"0";"https://www.qubs.fr/upload/medias/img-20230429-105728-644ce4587083d360138399.jpg";"https://www.qubs.fr/upload/medias/img-20230429-110431-644ce45872792869254550.jpg";NA;""
"231";"https://www.qubs.fr/upload/medias/img-20230429-112533-644ce495e5f34557559617.jpg";"L'Hélice grimace";"0";"0";"0";"https://www.qubs.fr/upload/medias/img-20230429-112611-644ce495e3e82806677757.jpg";NA;"https://www.qubs.fr/upload/medias/img-20230429-113015-644ce495e4e83029831078.jpg";""
"232";"https://www.qubs.fr/upload/medias/20230429-104948-644ce5f83649b256558634.jpg";"L'Escargot de Bourgogne";"0";"0";"0";"https://www.qubs.fr/upload/medias/20230429-104948-644ce5f833672038931393.jpg";"https://www.qubs.fr/upload/medias/20230429-105008-644ce5f83470c197518073.jpg";"https://www.qubs.fr/upload/medias/20230429-105000-644ce5f835509085212586.jpg";""
"233";"https://www.qubs.fr/upload/medias/img-20230429-113858-644ce8b40cd86360729556.jpg";NA;"0";"1";"0";"https://www.qubs.fr/upload/medias/img-20230429-113913-644ce8b40bb17238269055.jpg";NA;NA;""
